user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
user1,4,0,5,5,0,3,5,5,3,5,5,4,5,0,0,3,2,3,5,5,4,2,1,2,4
user2,4,0,5,4,3,3,3,3,0,0,5,3,5,2,0,5,3,4,3,4,3,2,1,5,3
user3,0,0,4,3,0,5,4,4,3,0,4,3,2,2,3,2,4,3,5,5,2,2,0,4,4
user4,1,0,5,2,0,0,4,4,5,0,0,0,0,2,0,0,0,4,0,0,3,4,0,0,4
user5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
user6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
user7,0,0,5,3,0,2,0,5,5,0,0,4,0,3,0,4,5,4,2,0,3,3,0,0,5
user8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,4,2
user9,0,1,5,4,0,3,3,4,5,0,0,0,3,0,0,5,4,4,0,0,1,1,1,4,4
user10,5,0,4,4,0,0,0,2,5,0,5,0,0,0,3,3,5,0,5,5,0,0,0,0,4
user11,0,0,4,0,5,0,3,2,0,0,3,0,0,3,2,5,0,2,0,0,0,0,0,0,4
user12,4,3,4,4,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4
user13,2,2,5,3,0,0,4,1,0,0,5,0,0,0,5,4,0,3,5,0,0,0,0,0,4
user14,5,0,4,3,0,3,4,0,3,4,5,0,4,0,0,3,2,2,0,0,0,1,0,0,4
user15,3,4,5,2,0,0,4,3,3,0,5,3,0,0,2,3,3,3,4,4,2,0,3,0,3
user16,0,4,5,3,0,0,4,4,0,0,0,4,0,0,2,0,0,2,4,4,3,0,5,0,0
user17,5,2,4,5,2,3,3,3,4,4,3,2,5,4,5,5,4,4,4,2,3,2,4,5,5
user18,5,0,4,5,0,3,3,0,5,4,5,0,4,0,4,5,4,3,4,3,2,1,4,4,5
user19,4,0,3,3,0,4,0,2,2,0,4,4,4,0,3,1,3,0,2,0,0,0,0,0,3
